PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
000Zo,4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,e5f6 e8e1 g1f2 e1f1,1353,75,86,628,endgame mate mateIn2 short,https://lichess.org/n8Ff742v#69,
000hf,r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19,e8f7 e2e6 f7f8 e6f7,1465,75,91,591,mate mateIn2 middlegame short,https://lichess.org/71ygsFeE/black#38,Horwitz_Defense Horwitz_Defense_Other_variations
001Wz,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1121,82,88,75,backRankMate endgame mate mateIn2 short,https://lichess.org/84RH3LaP/black#42,
001cr,8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,c5c4 d7e8,1650,78,93,1287,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/7FFNwibw/black#76,
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,820,119,68,256,bodenMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/1sV2Hr22#35,Sicilian_Defense Sicilian_Defense_Other_variations
001om,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1018,80,89,224,mate mateIn2 middlegame short,https://lichess.org/VWOIWtIh#51,
001pC,r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,f1g1 h3f2,884,80,100,150,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/d04UP3XD#35,Sicilian_Defense Sicilian_Defense_McDonnell_Attack
001w5,1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1049,80,85,209,advancedPawn attraction mate mateIn2 middlegame promotion short,https://lichess.org/0e1vxAEn/black#58,
001wR,6nr/pp3p1p/k1p5/8/1QN5/2P1P3/4KPqP/8 b - - 5 26,b7b5 b4a5 a6b7 c4d6 b7b8 a5d8,1195,76,95,2543,endgame long mate mateIn3,https://lichess.org/ruvbd9JW/black#52,
001wb,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,h2g3 g6h5,1250,76,93,169,mate mateIn1 middlegame oneMove,https://lichess.org/hNzYRMWP#33,Ruy_Lopez Ruy_Lopez_Bird_Variation
002CP,r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,f2e3 g6c2,926,83,69,87,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/pHZnIFdb#47,
002Z9,4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1R3p2/1P1Q3P/5B1K b - - 0 34,f4d2 e7e8,1237,99,69,50,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/Ek4aENjD/black#68,
002p5,r1bqr1k1/pp1nbpp1/2p2n2/6P1/2BP4/P7/1PQNNPP1/R3K2R b KQ - 0 13,f6d5 c2h7 g8f8 h7h8,1055,83,100,63,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/meSoQkhU/black#26,French_Defense French_Defense_Exchange_Variation
002vV,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,460,88,100,375,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/KB7FAntf#115,
0030b,6k1/5ppp/5nb1/pp6/6rP/5N1Q/Pq2r1P1/3R2RK b - - 4 32,g6e4 d1d8 f6e8 d8e8,1014,88,100,52,backRankMate mate mateIn2 middlegame short,https://lichess.org/mhIZR6Mc/black#64,
003AX,2r2rk1/5ppp/bq2p3/p1ppP1N1/Pb1P2P1/1P2P2P/2QN4/2R1K2R b K - 1 18,c5d4 c2h7,1196,75,96,573,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kRgejRSt/black#36,French_Defense French_Defense_Advance_Variation
003IX,8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43,f4f5 e4g3,1682,77,90,1694,endgame mate mateIn1 oneMove,https://lichess.org/576Btq56#85,
003Tx,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1535,88,81,718,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53,
003YF,r4rk1/1pp2ppp/p2p4/2bPp3/2P1Pn1q/P1N2B2/1P3P2/R1BQK1R1 w Q - 1 15,c1f4 h4f2,1103,89,78,65,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/5DK4vDDB#29,Mexican_Defense Mexican_Defense_Other_variations
0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,479,109,94,1318,backRankMate mate mateIn2 middlegame short,https://lichess.org/DuM2FZjg/black#48,
00465,3r1Q1k/pp4pp/2p5/6q1/5R2/2P5/P1P2PPP/3rR1K1 b - - 8 27,d8f8 f4f8,689,80,100,145,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/h21VtqGG/black#54,
004JD,3r4/R7/2p5/p1P2p2/1p4k1/nP6/P2KNP2/8 w - - 3 41,d2e3 a3c2,1314,78,91,2738,endgame mate mateIn1 oneMove,https://lichess.org/6vTeEc3x#81,
004WZ,r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R4Kr1 w - - 2 26,f1g1 c6h1,891,81,93,107,mate mateIn1 middlegame oneMove,https://lichess.org/BQIdXPOM#51,
004X6,1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/Rr4K1 w - - 1 26,a1b1 b8b1 d2d1 b1d1,1152,266,83,14,endgame mate mateIn2 short,https://lichess.org/wvPFkjF9#51,
004XI,8/3kqp2/4p3/p2p4/3P1P2/4P1rP/7r/1QR2K2 b - - 1 34,e7a3 b1b7 d7e8 c1c8,984,125,100,11,endgame mate mateIn2 short,https://lichess.org/54fnArpo/black#68,
004iZ,r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,433,112,89,964,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dQ85JUe1/black#40,
004kB,4rr1k/pQpn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 w - - 1 16,b7c7 f6f2 f1f2 e8e1 f2f1 e1f1,1209,76,60,193,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/Cl9T6bjt#31,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
004zI,2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1461,76,88,320,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54,
005Bm,4rk2/p1q5/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 b - - 0 43,c7f7 h4g6 f8g8 f6h8,1360,75,96,1472,endgame mate mateIn2 pin short,https://lichess.org/KKslCMev/black#86,
005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,526,106,95,1798,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64,
005nD,3rk2r/2qn1pp1/p1Q1R3/3n3p/8/8/PP4PP/5R1K b k - 0 23,f7e6 c6e6 d5e7 e6f7,1133,75,99,873,fork mate mateIn2 middlegame short,https://lichess.org/hlgaj6lV/black#46,
005wy,1r6/pp2kpp1/2n1p1n1/3p2PQ/5P2/2PqP3/PP1N4/2KR3R w - - 3 27,h5h7 c6b4 c3b4 b8c8 d2c4 c8c4,1957,75,94,4696,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/mBQMheB4#53,
0061g,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,802,92,73,267,endgame mate mateIn2 short,https://lichess.org/dJ3xEKJK/black#54,
00656,7r/ppp2kp1/2nb1pp1/3p3r/3P2q1/2PQB2P/PP3PP1/R3R1K1 w - - 0 18,h3g4 h5h1,895,77,100,73,mate mateIn1 middlegame oneMove,https://lichess.org/V9os02rv#35,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
006GK,2kr1br1/ppBb1ppp/8/3P2Q1/3n2n1/5N2/PP3qPP/RN2R2K b - - 0 16,d4f3 g5d8,1086,145,71,18,mate mateIn1 oneMove opening queensideAttack,https://lichess.org/CSpoYrv7/black#32,Italian_Game Italian_Game_Two_Knights_Defense
006HV,1r6/5k2/2p1pNp1/p5Pp/1pQ1P2P/2P4R/KP3P2/3q4 w - - 4 31,c4c6 b4b3 a2a3 d1a1,1146,76,93,996,endgame mate mateIn2 short,https://lichess.org/ibb2c72C#61,
006pe,r4r2/2q1NN2/4bQpk/2n4p/pp5P/8/1PP2PP1/2KR3R b - - 0 28,e6f7 e7f5 h6h7 f6g7,1686,75,97,1743,master mate mateIn2 middlegame pin short,https://lichess.org/gkSEAS27/black#56,
0071N,6k1/p4pp1/1p5p/4b3/4B3/4P1P1/PpR2PKP/3r4 b - - 1 30,b2b1q c2c8 d1d8 c8d8,568,92,100,113,endgame mate mateIn2 short,https://lichess.org/HRlw71ON/black#60,
007HB,rn2q1k1/pp3ppp/2pb4/3p1B2/2Pn4/1Q3N2/PP3PPP/R1B4K w - - 0 15,f3d4 e8e1,562,96,86,168,mate mateIn1 middlegame oneMove,https://lichess.org/prYQo0BK#29,Petrovs_Defense Petrovs_Defense_Classical_Attack
007Rn,4r1k1/p4p1p/1p6/6q1/3P2n1/P4Q2/1P1B2P1/7K w - - 0 34,d2g5 e8e1 f3f1 e1f1,992,82,75,76,endgame mate mateIn2 short,https://lichess.org/L9kH7FqT#67,
007XE,2kr3r/p1p1bpp1/2p2n1p/8/8/1P6/P1P1RPPP/RNB3K1 w - - 1 16,e2e7 d8d1 e7e1 d1e1,645,91,79,75,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/f4f7UwiT#31,Kings_Pawn_Game Kings_Pawn_Game_Leonardis_Variation
007c6,2kr3r/pp1n2pp/2QB1bp1/5q2/2B5/8/PPP2PPP/3R1RK1 b - - 0 17,b7c6 c4a6,723,79,56,156,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/vqwzqZHC/black#34,Elephant_Gambit Elephant_Gambit_Other_variations
007en,rn3rk1/4pp1p/3p2pB/2q4P/3bP1b1/Pp2Q3/1P2B3/1K1R2NR w - - 0 20,e3d4 c5c2 b1a1 a8a3 b2a3 c2a2,1909,76,97,1305,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/jzE2yKAk#39,
007fJ,8/1P3ppp/8/8/8/2pk3P/3p2P1/3K4 w - - 0 52,b7b8q c3c2,459,110,91,457,advancedPawn endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/34ezZi7R#103,
007ku,r1bq3Q/1np2kp1/p5B1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2 b - - 5 35,f7g6 h8h5 g6f6 f4g5,1629,74,89,962,mate mateIn2 middlegame short,https://lichess.org/QveLbBjG/black#70,
0082f,r4rk1/2q2ppp/3pp3/4Pb1N/pp6/1B4Q1/PPP3PP/1K1RR3 b - - 0 21,a4b3 g3g7,973,75,100,197,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/fHfmODEz/black#42,
008GK,1k1r4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3NRK1 b - - 4 31,d8d1 f1f8 d1d8 f8d8,457,105,90,1657,backRankMate endgame mate mateIn2 short,https://lichess.org/9vFFDYsH/black#62,
008LD,8/6pp/4N1k1/5p2/5P2/5rPb/4R2P/6K1 w - - 0 35,e6g5 f3f1,411,95,78,171,endgame mate mateIn1 oneMove,https://lichess.org/jzHHsjDp#69,
008Nz,6k1/2p2ppp/pnp5/B7/2P3PP/1P1bPPR1/r6r/3R2K1 b - - 1 29,d3e2 d1d8,457,99,84,887,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/HNU4zavC/black#58,
008cl,r3k2r/ppp2p1p/2n1pp2/7q/2PN2b1/2BP1Pb1/PP2B1P1/R2Q1RK1 w kq - 1 16,f3g4 h5h2,829,79,100,139,mate mateIn1 middlegame oneMove,https://lichess.org/K27KSt2D#31,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
008o6,Q5k1/p1p3p1/5rP1/8/3P4/7P/q3r3/B4RK1 b - - 1 34,f6f8 a8f8,471,87,75,122,endgame mate mateIn1 oneMove,https://lichess.org/1k4lXfEi/black#68,
008oX,4r1k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 b - - 3 32,e8e1 c7c8 e1e8 c8e8,978,76,71,219,endgame mate mateIn2 short,https://lichess.org/APGKH8YH/black#64,
0092z,2r3k1/2qR1ppp/p7/2p2Q2/P7/7P/5PP1/6K1 b - - 3 26,c7c6 f5f7 g8h8 f7g7,945,86,94,418,endgame mate mateIn2 short,https://lichess.org/fjaha7q0/black#52,
009BH,3r2k1/6p1/4Q3/4B3/1p3P2/4PKP1/3q4/8 b - - 17 51,g8h8 e6h6 h8g8 h6g7,1526,75,98,3898,endgame mate mateIn2 pin short,https://lichess.org/QauOOpOY/black#102,
009IO,3rk3/5p1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1 b - - 4 25,e8e7 f2f7 h7f7 f1f7,1165,82,87,543,hookMate mate mateIn2 middlegame short,https://lichess.org/LJBrm9Or/black#50,
009L0,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/3R1PPP/2r3K1 w - - 2 30,d2d1 c1d1,706,146,18,25,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/SAhQtou2#59,
009bR,4r2k/3q2r1/1p4pQ/p1pP4/2P4P/1N4p1/PP3RK1/8 b - - 1 37,g7h7 f2f8 e8f8 h6f8,1048,77,82,153,endgame mate mateIn2 short,https://lichess.org/rvHGlZar/black#74,
009bn,2kr2r1/ppb2ppp/3qbn2/2Np2B1/P7/2P2Q1P/1PB2PP1/R4RK1 w - - 5 18,c5e6 d6h2,936,76,100,137,mate mateIn1 middlegame oneMove,https://lichess.org/Zw4AxPzS#35,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
009f8,8/1p4p1/pb2ppkp/3n4/3P4/P3BN1P/1P2KPP1/8 b - - 0 26,g6f5 f3h4 f5e4 f2f3,1078,77,94,187,endgame mate mateIn2 short,https://lichess.org/paDYagZM/black#52,
009lk,1R6/6pk/2p4p/3bP2r/5B1P/2P2qP1/P4P1Q/4R1K1 w - - 2 40,e1e3 f3d1 e3e1 d1e1,918,81,95,888,mate mateIn2 middlegame short,https://lichess.org/gLNPef4f#79,
009oc,5Q2/pbp3np/1p1pB1pk/1P6/P3q2P/6K1/8/8 b - - 1 32,e4e6 f8f4 g6g5 f4g5,1194,77,89,759,endgame mate mateIn2 short,https://lichess.org/426eHXom/black#64,
009uB,3br2r/5k1p/4p1pQ/P5P1/1B5P/P6q/5R2/6K1 b - - 1 35,f7g8 f2f8 e8f8 h6f8,1042,83,95,301,mate mateIn2 middlegame short,https://lichess.org/1llcQdqK/black#70,
009zR,3r4/p1p2ppp/4k3/6Q1/5P2/4P3/Prqn2PP/3R1RK1 w - - 3 22,g5d8 d2f3 g1h1 c2g2,1629,78,87,173,discoveredAttack endgame mate mateIn2 short,https://lichess.org/SctCD3fJ#43,
00AGs,rn2k2Q/5p2/2p1p1r1/1q4p1/8/8/4NPPP/3R1K1R b q - 5 23,e8e7 h8d8,909,92,93,402,mate mateIn1 middlegame oneMove,https://lichess.org/gBoWCcF2/black#46,
00AfZ,2r3kR/Q7/5q2/1brpN3/5Pp1/4P1P1/6K1/1B6 b - - 2 43,f6h8 a7f7,972,76,100,285,master mate mateIn1 middlegame oneMove,https://lichess.org/xSsuq2RP/black#86,
00Aq4,2k1r3/pppn1pp1/3b2b1/3p2Pp/2B2P2/3P3P/PPPR4/2K3NR w - - 0 18,c4d5 e8e1 d2d1 d6f4 c1b1 e1d1,1483,103,48,118,backRankMate deflection long mate mateIn3 middlegame,https://lichess.org/VIBqOZyc#35,Scandinavian_Defense Scandinavian_Defense_Main_Line
00B2k,r4rk1/pbp3pp/1p1pp3/6B1/2PPp2q/3nP2P/PP3P2/R2QKBR1 w Q - 8 16,f1d3 h4f2,833,130,43,21,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/SIYAVKzo#31,Dutch_Defense Dutch_Defense_Queens_Knight_Variation
00BQD,4r3/3R1pkp/6p1/1P6/1b6/5B2/1P1p1PPP/3R2K1 w - - 0 36,d1d2 e8e1,634,90,100,225,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/ckr8Ti7I#71,
00Bg4,3r2k1/1q3ppp/p2rp3/Qp1B4/7P/P4P2/1PP3P1/1K1R3R b - - 0 21,d6d5 a5d8 d5d8 d1d8,1370,85,75,309,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/6qWf8wOP/black#42,
00Bm8,8/6kp/4b1q1/1p6/1PpPp2Q/2P1P3/r2N2P1/5RK1 w - - 7 34,d2e4 g6g2,1126,76,86,328,endgame master mate mateIn1 oneMove,https://lichess.org/ynNNLRgG#67,
00Bn0,r1bqkb1r/pp1pnppp/2n1p3/1N6/5B2/8/PPP1PPPP/R2QKBNR b KQkq - 4 6,e6e5 b5d6,1049,106,70,144,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/uxtqY7nh/black#12,Horwitz_Defense Horwitz_Defense_Other_variations
00BrZ,r6r/pp2kb2/3p1p1Q/1N1Pp3/3bP3/P2B2P1/1P4PP/7K w - - 6 28,h6d2 h8h2 h1h2 a8h8 d2h6 h8h6,1399,75,84,438,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/ANKrgoJi#55,
00Bse,8/5p2/1R4k1/6p1/8/3r2PP/5K2/8 b - - 3 40,g6h5 g3g4 h5h4 b6h6,862,77,71,94,endgame mate mateIn2 rookEndgame short,https://lichess.org/PnM8NvEX/black#80,
00C7m,8/5k2/1P4R1/6PK/1r6/8/8/8 w - - 1 58,h5h6 b4h4,749,119,67,60,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/ZbuTrTYp#115,
00CBU,8/2pR2kp/pb4p1/8/5p1P/B6K/P1r5/6r1 b - - 3 39,g7h6 a3f8 h6h5 d7h7,1822,82,77,56,deflection endgame mate mateIn2 short,https://lichess.org/8sbUxgqT/black#78,
00CFp,rn1q3k/pp4pp/1b2B3/4N3/5r2/2p5/PP4PP/RN3Q1K w - - 0 16,f1f4 d8d1 f4f1 d1f1,400,104,100,290,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/6VajuPk6#31,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
00CWE,3r4/1p4p1/2pBkbBp/p1P5/3rp3/P7/1PK2P2/4R3 b - - 1 31,e6d5 g6f7,1450,75,94,2673,endgame mate mateIn1 oneMove,https://lichess.org/VCQ4NAd0/black#62,
00Cfq,6k1/ppR2pp1/4p1p1/4P1N1/3r2P1/1P4K1/P6r/8 b - - 5 30,h2e2 c7c8 d4d8 c8d8,617,82,100,157,endgame mate mateIn2 short,https://lichess.org/Mtebd1Gr/black#60,
00CpR,4r1k1/B7/2p2pK1/3n3p/8/1Q3PP1/P6r/8 b - - 0 31,e8e5 b3b8 e5e8 b8e8,641,88,85,313,endgame mate mateIn2 short,https://lichess.org/tX2xyrPX/black#62,
00CtS,Q5k1/5q2/p2p4/b1p1pr2/P7/6P1/4KP1R/8 b - - 3 38,g8g7 a8h8 g7g6 h8h6,996,76,96,3104,endgame mate mateIn2 short,https://lichess.org/yKolw9vl/black#76,
00Cwz,1r5r/5pk1/4p3/2Np2PP/p1nP4/n1P5/P3B3/K1R4R w - - 2 34,c5a4 b8b1 c1b1 a3c2,1506,79,87,102,mate mateIn2 middlegame sacrifice short,https://lichess.org/o6LOeNAf#67,
00DPQ,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN1R2/R2Q3K w - - 6 20,f2h2 g3h2,766,97,84,112,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/AKiNfVd0#39,
00DU5,r1bq1rk1/5ppp/p2p1b2/1p1Pn3/1P2Q3/P1NB3P/1B3PP1/R4RK1 b - - 2 17,c8b7 e4h7,487,88,78,94,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/sDwtQGBU/black#34,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation
00DWo,b4b1r/3k1ppp/p2p4/1p2p3/3nq3/N1P1B3/PP3PPP/R2Q1RK1 w - - 1 16,c3d4 e4g2,1063,105,82,42,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/bSwKB2bL#31,Sicilian_Defense Sicilian_Defense_Kalashnikov_Variation
00DYf,1R6/6kp/3p1pp1/2r1p3/P7/1P6/2r2PPP/1R4K1 w - - 4 30,b3b4 c2c1 b1c1 c5c1,575,83,100,134,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/nLqNgF9I#59,
00EDa,r1bk3r/ppp1np1p/3p2pP/1N2P1q1/2BP1n2/8/PPP3P1/R1BQ2KR w - - 1 14,e5d6 g5g2,794,83,100,54,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/dTj38zoQ#27,Three_Knights_Opening Three_Knights_Opening_Other_variations
00EEp,3k2q1/pb1p3p/1p1P4/2p5/2P2Q1K/8/P7/5R2 b - - 2 36,b7g2 f4f8 g8f8 f1f8,1665,79,88,64,endgame mate mateIn2 short,https://lichess.org/dWHeDlRz/black#72,
00EWi,8/8/1R3pkp/1pP5/1P3PKP/r7/8/8 w - - 2 48,b6b5 f6f5,916,76,100,344,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/RxrVCbwq#95,
00F2o,6k1/4qpp1/3p3p/8/2BP4/1Pn5/2Qn1PPP/6K1 w - - 0 29,c2c3 e7e1 c4f1 e1f1,979,77,72,123,endgame mate mateIn2 short,https://lichess.org/Xik1cEk4#57,
00F6y,2k3r1/ppp2prp/1q2b3/8/Q7/2P1R1P1/P4P1P/4R1K1 b - - 3 23,e6d7 e3e8 d7e8 e1e8 g8e8 a4e8,806,99,93,800,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/Hii0fRVd/black#46,
00FH6,r6r/1q2bpk1/7p/p1p1pPpn/Pp2P1nP/1P1B1N2/2P3P1/2BRR1QK w - - 7 30,c1b2 h5g3,1074,75,100,184,mate mateIn1 middlegame oneMove,https://lichess.org/ckigRGV8#59,
00FHX,2r3k1/5p1p/4pP2/3p3P/8/5P2/p1b3P1/2R3K1 b - - 0 30,c2b1 c1c8,496,93,85,794,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/rztVgThB/black#60,
00FaB,2k2bn1/ppp2Nrp/2b1p3/3q2BQ/8/8/PP3PPP/RN3RK1 w - - 5 18,b1c3 d5g2,673,78,75,105,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/fjSUfcn3#35,Ponziani_Opening Ponziani_Opening_Jaenisch_Counterattack
00FjB,rnbk3r/pppp1Bpp/8/5p2/4p3/2PP4/P1P2PPP/R1B1K2R b KQ - 0 13,h8f8 c1g5,879,145,59,203,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/r1BPO2dx/black#26,Bishops_Opening Bishops_Opening_Boden-Kieseritzky_Gambit
00G0z,Q4n1k/p2b2pp/3b4/2p5/4pq2/2Pn3P/PP1NBPP1/R1B2RK1 w - - 1 23,d2e4 f4h2,1339,93,29,56,mate mateIn1 middlegame oneMove,https://lichess.org/5yn9tO6O#45,
00GRa,1r3rk1/2p1Nppb/p2nq3/1p2p1Pp/4Qn1P/2P1N3/PPB2P1K/3R2R1 b - - 5 28,e6e7 e4h7,410,107,96,968,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QiJhfG8J/black#56,
00GY4,3k2r1/pR5R/3r4/4p1q1/7Q/3Pn1PP/PP5K/8 b - - 0 27,g5h4 b7b8,1299,75,95,1169,endgame mate mateIn1 oneMove,https://lichess.org/uDdpetkC/black#54,
00GoO,r1b2rk1/ppb5/2p4p/2Ppqpp1/1P6/2N1P3/P3BPPP/2RQ1RK1 w - - 0 16,e2d3 e5h2,505,88,100,168,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/sf8dREp6#31,Dutch_Defense Dutch_Defense_Normal_Variation
00GuD,1n5k/4r1p1/p2q1rPp/1ppB4/8/3P4/PPP1RPQ1/2K4R b - - 4 25,e7e2 h1h6 g7h6 g6g7 h8h7 g7g8q,1175,76,88,559,advancedPawn kingsideAttack long mate mateIn3 middlegame promotion sacrifice,https://lichess.org/zcHeWRaO/black#50,
00Gyu,r1b1k1nr/1pp2p2/p7/1B1q3p/6p1/4PP2/PPPQ1P2/2KR3R b kq - 1 17,d5b5 d2d8,605,84,100,55,mate mateIn1 middlegame oneMove,https://lichess.org/EZLk62ss/black#34,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
00H1C,r3r3/1kpRnqpp/p4p2/Qp2P2P/1N6/4Pb2/PPP3P1/2K2R2 b - - 0 22,e7c6 a5c7,1561,77,94,2113,mate mateIn1 middlegame oneMove,https://lichess.org/GzcjOw0p/black#44,
00H8a,5bk1/2R4p/6p1/8/2b1NP1P/4P1K1/r7/8 b - - 2 45,c4d3 e4f6 g8h8 c7h7,799,79,88,311,arabianMate endgame mate mateIn2 short,https://lichess.org/7UUQgJDC/black#90,
00H9n,7k/6p1/8/4p3/Pp1b4/1P3b1q/3Q2P1/5RK1 w - - 0 45,d2d4 h3g2,894,79,90,307,endgame master mate mateIn1 oneMove,https://lichess.org/MaGCLflH#89,
00HEh,3R1rk1/pp3ppp/2p3b1/2n3P1/2B2q1P/5N2/PPP1QP2/4R1K1 b - - 0 23,f8d8 e2e8 d8e8 e1e8,806,87,90,446,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/ekEf00kl/black#46,
00HHN,4r2k/p6p/1p3R2/2p5/2P5/1P4R1/r5PP/2K5 w - - 0 32,f6f7 e8e1,622,89,98,816,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/tMmxk7ja#63,
00HJd,r1bqkb1r/pp2pppp/2p2n2/2PnN3/2BP1B2/8/PP3PPP/RN1QR1K1 b kq - 2 12,d5f4 c4f7,1264,127,57,38,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/LuwogjsN/black#24,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
00HPz,6r1/7p/2pk1p2/P2p4/P2KbP2/4P3/4NR1P/8 w - - 1 35,e2c3 c6c5,691,97,94,611,endgame master mate mateIn1 oneMove,https://lichess.org/ElfQqRYp#69,
00HZC,4r1k1/pp1qn3/2p4R/6p1/3P1rR1/3Q2P1/PP3P1P/6K1 b - - 0 31,f4g4 d3h7 g8f8 h6f6,1524,75,74,132,endgame mate mateIn2 short,https://lichess.org/SPwu7cIA/black#62,
